actor_name,actor_class,source_file,source_feature_id,source_sha256_12,anchor_epsg6494_ft_x,anchor_epsg6494_ft_y,anchor_local_m_x,anchor_local_m_y,anchor_local_m_z,z_navd88_ft,material_id,validation_state,provisional,note
Row_bend_01,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r1,e74d78853e2d,19533136.58,750731.14,20.994,-20.7432,186.181,610.83,row_formal,formal,False,19 seats; band formal; C=Nonemm
Row_bend_02,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r2,e74d78853e2d,19533139.73,750727.91,21.9544,-21.7302,186.4949,611.86,row_formal,PASS,False,21 seats; band formal; C=196.2mm
Row_bend_03,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r3,e74d78853e2d,19533142.72,750724.96,22.8667,-22.628,186.8515,613.03,row_formal,PASS,False,22 seats; band formal; C=211.8mm
Row_bend_04,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r4,e74d78853e2d,19533145.46,750722.3,23.7001,-23.4387,187.199,614.17,row_formal,PASS,False,23 seats; band formal; C=214.2mm
Row_bend_06,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r6,e74d78853e2d,19533150.98,750716.57,25.3829,-25.1856,187.9763,616.72,row_formal,PASS,False,24 seats; band formal; C=421.5mm
Row_bend_07,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r7,e74d78853e2d,19533153.7,750713.89,26.2137,-26.0022,188.3725,618.02,row_formal,PASS,False,25 seats; band formal; C=215.2mm
Row_bend_08,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r8,e74d78853e2d,19533156.44,750711.29,27.0482,-26.7959,188.7657,619.31,row_formal,PASS,False,26 seats; band formal; C=193.9mm
Row_bend_11,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r11,e74d78853e2d,19533164.85,750702.91,29.6108,-29.3493,190.0123,623.4,row_formal,PASS,False,29 seats; band formal; C=501.2mm
Row_bend_12,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r12,e74d78853e2d,19533167.75,750700.14,30.4938,-30.1925,190.4329,624.78,row_formal,PASS,False,29 seats; band formal; C=178.1mm
Row_bend_13,spline_mesh,vectors_geojson/terrace_treads.geojson,tread_bend_r13,e74d78853e2d,19533171.1,750697.17,31.5173,-31.0983,190.8962,626.3,row_formal,PASS,False,31 seats; band formal; C=192.9mm
